Player,GP,AB,R,1B,2B,3B,HR,H,BB,HBP,TB,AVG,OBP,SLG,OPS,SF,RBI,SO,SB,CS,GS,IP,ER,ERA,K,WALK,HB,W,L,WP,SV,WIP,HA,WHIP
Adrian Prieto ,9,25,6,5,-,-,-,5,4,-,5,0.200,0.310,0.200,0.510,-,1,8,1,-,-,1.30,-,-,2,-,-,-,-,-,-,-,-,-
Alfredo Medina ,4,10,-,2,-,-,-,2,2,1,2,0.200,0.357,0.200,0.557,1,1,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blaise Lezynski ,1,4,-,1,-,-,-,1,-,-,1,0.250,0.250,0.250,0.500,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cameron Yamanishi ,5,9,-,-,-,-,-,-,2,-,-,-,0.182,-,0.182,-,-,8,-,-,-,2.34,1,3.85,2,-,3,-,-,-,-,1.3,-,-
Chad Lambert ,7,25,6,6,1,1,-,8,2,3,11,0.320,0.433,0.440,0.873,-,3,3,2,-,1,22.01,8,3.27,27,13,3,2,-,100%,-,0.7,15,1.27
Colin Schaepe ,8,28,5,5,-,-,-,5,4,-,5,0.179,0.281,0.179,0.460,-,-,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edwin Marcial ,10,30,7,9,-,-,-,9,8,-,9,0.300,0.447,0.300,0.747,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
James Little ,4,11,1,3,-,-,-,3,2,-,3,0.273,0.357,0.273,0.630,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamie Houston ,1,4,-,1,-,-,-,1,-,-,1,0.250,0.250,0.250,0.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Joel Pierce ,7,23,1,3,2,-,-,5,5,-,7,0.217,0.357,0.304,0.661,-,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
John Gentry ,6,20,1,4,1,-,-,5,2,2,6,0.250,0.375,0.300,0.675,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
John Little ,8,24,3,3,-,-,-,3,4,-,3,0.125,0.241,0.125,0.366,1,2,4,-,-,-,6.33,-,-,6,4,1,-,-,-,-,0.8,3,1.11
Jonathan Roberts ,6,20,1,2,2,-,-,4,3,1,6,0.200,0.333,0.300,0.633,-,2,5,2,-,-,4.37,2,4.12,5,7,-,-,-,-,-,1.6,-,1.60
Nathan Moreau ,1,4,1,1,-,-,-,1,-,-,1,0.250,0.250,0.250,0.500,-,-,-,-,-,-,0.33,1,27.27,-,-,-,-,1,-,-,-,3,9.09
Phil Lucas ,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,3,15.99,18,10.13,14,17,3,-,3,-,-,1.3,23,2.50
Rob Wodarczyk ,6,14,1,1,-,-,-,1,-,-,1,0.071,0.071,0.071,0.143,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ryan Flemming ,2,7,-,1,-,-,-,1,-,-,1,0.143,0.143,0.143,0.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sean Lennox ,8,25,6,5,1,-,-,6,4,1,7,0.240,0.367,0.280,0.647,-,-,2,-,-,5,22.67,4,1.59,12,3,-,1,-,100%,-,0.1,15,0.79
Thomas Smith ,8,21,10,8,2,-,1,11,8,1,16,0.524,0.667,0.762,1.429,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tom Hart ,4,16,3,3,1,-,-,4,-,-,5,0.250,0.250,0.313,0.563,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tony Plagman ,2,8,2,1,3,-,-,4,-,-,7,0.500,0.500,0.875,1.375,-,4,2,-,-,-,2,1,4.50,1,-,-,-,-,-,-,-,2,1.00
